ticker,fiscal_year,trading_date,share_price
GVR,2020,2020-12-31,27.55
GVR,2021,2021-12-31,34.54
GVR,2022,2022-12-30,13.24
GVR,2023,2023-12-29,20.71
GVR,2024,2024-12-31,29.92
BSR,2020,2020-12-31,5.66
BSR,2021,2021-12-31,13.21
BSR,2022,2022-12-30,7.7
BSR,2023,2023-12-29,11.19
BSR,2024,2024-12-31,14.12
GEE,2022,2022-12-30,21.4
GEE,2023,2023-12-29,23.13
GEE,2024,2024-12-31,27.25
DGC,2020,2020-12-31,17.23
DGC,2021,2021-12-31,62.39
DGC,2022,2022-12-30,52.17
DGC,2023,2023-12-29,88.05
DGC,2024,2024-12-31,111.71
GMD,2020,2020-12-31,24.14
GMD,2021,2021-12-31,35.91
GMD,2022,2022-12-30,35.34
GMD,2023,2023-12-29,56.59
GMD,2024,2024-12-31,63.1
VGC,2020,2020-12-31,21.4
VGC,2021,2021-12-31,44.03
VGC,2022,2022-12-30,29.87
VGC,2023,2023-12-29,50.78
VGC,2024,2024-12-31,42.83
PVS,2020,2020-12-31,14.94
PVS,2021,2021-12-31,23.78
PVS,2022,2022-12-30,19.27
PVS,2023,2023-12-29,34.85
PVS,2024,2024-12-31,31.68
DPM,2020,2020-12-31,6.95
DPM,2021,2021-12-31,19.77
DPM,2022,2022-12-30,18.9
DPM,2023,2023-12-29,17.46
DPM,2024,2024-12-31,19.37
VCG,2020,2020-12-31,27.54
VCG,2021,2021-12-31,32.61
VCG,2022,2022-12-30,12.51
VCG,2023,2023-12-29,19.71
VCG,2024,2024-12-31,16.22
PVD,2020,2020-12-31,12.0
PVD,2021,2021-12-31,21.97
PVD,2022,2022-12-30,17.46
PVD,2023,2023-12-29,27.67
PVD,2024,2024-12-31,22.88
DHG,2020,2020-12-31,79.98
DHG,2021,2021-12-31,90.43
DHG,2022,2022-12-30,70.15
DHG,2023,2023-12-29,88.65
DHG,2024,2024-12-31,98.05
VHC,2020,2020-12-31,29.72
VHC,2021,2021-12-31,46.47
VHC,2022,2022-12-30,53.03
VHC,2023,2023-12-29,56.52
VHC,2024,2024-12-31,68.13
DBC,2020,2020-12-31,17.75
DBC,2021,2021-12-31,26.01
DBC,2022,2022-12-30,10.55
DBC,2023,2023-12-29,20.5
DBC,2024,2024-12-31,24.13
PC1,2020,2020-12-31,10.6
PC1,2021,2021-12-31,22.5
PC1,2022,2022-12-30,13.28
PC1,2023,2023-12-29,21.78
PC1,2024,2024-12-31,19.91
VSC,2020,2020-12-31,12.08
VSC,2021,2021-12-31,17.07
VSC,2022,2022-12-30,13.47
VSC,2023,2023-12-29,14.16
VSC,2024,2024-12-31,12.34
NKG,2020,2020-12-31,7.83
NKG,2021,2021-12-31,24.28
NKG,2022,2022-12-30,9.54
NKG,2023,2023-12-29,19.2
NKG,2024,2024-12-31,14.45
BHN,2020,2020-12-31,64.84
BHN,2021,2021-12-31,52.71
BHN,2022,2022-12-30,41.66
BHN,2023,2023-12-29,37.29
BHN,2024,2024-12-31,36.87
TMS,2020,2020-12-31,18.47
TMS,2021,2021-12-31,44.44
TMS,2022,2022-12-30,35.97
TMS,2023,2023-12-29,39.86
TMS,2024,2024-12-31,40.21
RAL,2020,2020-12-31,86.52
RAL,2021,2021-12-31,112.72
RAL,2022,2022-12-30,67.28
RAL,2023,2023-12-29,99.37
RAL,2024,2024-12-31,116.06
PVC,2020,2020-12-31,5.9
PVC,2021,2021-12-31,12.51
PVC,2022,2022-12-30,9.09
PVC,2023,2023-12-29,14.93
PVC,2024,2024-12-31,10.4
